Mod,Teff,Log(g),R,Age,L,Log(Tc),Log(Pc),Log(rhoc),Mx/M,Log(qx),Lnu,Log(H/*),Log(He/*),Log(C/*),Log(O/*),M/Msun
1.0,147050.8639,9.18210077,336803900.0,0.0,3.779693e+34,8.216774,26.22897,8.663778,0.0,0.0,3.538891e+35,-3.999873,-1.999887,-0.3054398,-0.3054398,1.3
1.0,143085.0104,9.01155404,401914600.0,0.0,4.824765e+34,8.152696,25.84205,8.377604,0.0,0.0,3.028447e+35,-3.999873,-1.999887,-0.3054398,-0.3054398,1.25
1.0,138587.1786,8.87281731,461995500.0,0.0,5.610477e+34,8.104689,25.53129,8.149104,0.0,0.0,2.799596e+35,-3.999873,-1.999887,-0.3054398,-0.3054398,1.2
1.0,137604.6219,8.51509948,652380100.0,0.0,1.08734e+35,8.035859,24.80543,7.622056,0.0,0.0,4.348524e+35,-3.999873,-1.999887,-0.3054398,-0.3054398,1.05
1.0,135487.7081,8.63260081,583246000.0,0.0,8.168364e+34,8.047595,25.02626,7.781206,0.0,0.0,3.348573e+35,-3.999873,-1.999887,-0.3054398,-0.3054398,1.1
1.0,135294.0438,8.75025883,520805200.0,0.0,6.475858e+34,8.069754,25.26493,7.954489,0.0,0.0,2.851665e+35,-3.999873,-1.999887,-0.3054398,-0.3054398,1.15
1.0,134495.744,8.40812209,720103200.0,0.0,1.209082e+35,8.02242,24.59959,7.47485,0.0,0.0,4.814598e+35,-3.999873,-1.999887,-0.3054398,-0.3054398,1.0
1.0,133116.9533,8.29690474,797747100.0,0.0,1.423954e+35,8.011034,24.40173,7.334476,0.0,0.0,5.301698e+35,-3.999873,-1.999887,-0.3054398,-0.3054398,0.95
1.0,131742.1195,7.89081901,1168399000.0,0.0,2.930307e+35,8.027325,23.79724,6.913106,0.0,0.0,8.719115e+35,-3.999873,-1.999887,-0.3054398,-0.3054398,0.8
1.0,130833.0624,8.05236662,999958500.0,0.0,2.08769e+35,8.006404,24.01055,7.060518,0.0,0.0,6.727636e+35,-3.999873,-1.999887,-0.3054398,-0.3054398,0.85
1.0,130409.8039,7.69738991,1413486000.0,0.0,4.117712e+35,8.065297,23.55979,6.750603,0.0,0.0,1.051187e+36,-3.999873,-1.999887,-0.3054398,-0.3054398,0.75
1.0,129971.3884,8.186931,881275200.0,0.0,1.579233e+35,8.002217,24.20941,7.19921,0.0,0.0,5.49579e+35,-3.999873,-1.999887,-0.3054398,-0.3054398,0.9
2.0,124356.6145,9.19859239,330469400.0,50000.0,1.861102e+34,8.19802,26.23399,8.667551,0.0,0.0,1.991632e+35,-3.999873,-1.999887,-0.3054398,-0.3054398,1.3
