Mod,Teff,Log(g),R,Age,L,Log(Tc),Log(Pc),Log(rhoc),Mx/M,Log(qx),Lnu,Log(H/*),Log(He/*),Log(C/*),Log(O/*),M/Msun
243.0,1463.0512,8.42852635,648488200.0,11506780000.0,1.373012e+27,4.803728,24.13411,7.149236,0.9999039279,-4.017403,221658900000.0,-9.99986,-1.999885,-0.305396,-0.305396,0.85
229.0,1463.5593,9.16055053,338559900.0,5274611000.0,3.747523e+26,4.328481,25.91458,8.43236,0.9999999652,-7.457984,386586100.0,-9.99986,-1.999885,-0.305396,-0.305396,1.25
237.0,1464.6535,7.79595558,977426900.0,14872790000.0,3.132854e+27,5.180469,22.71618,6.199089,0.990764313,-2.034531,150521500000000.0,-9.99986,-1.999885,-0.305396,-0.305396,0.45
240.0,1468.3107,8.50280529,612596400.0,10901910000.0,1.242947e+27,4.759136,24.30867,7.271267,0.9999599889,-4.39782,121629800000.0,-9.99986,-1.999884,-0.305396,-0.305396,0.9
212.0,1473.5143,7.59050728,1092034000.0,15847320000.0,4.0061e+27,5.3035,22.27681,5.91879,0.9898718684,-1.994471,1196059000000000.0,-9.99986,-1.999885,-0.305396,-0.305396,0.35
268.0,1476.1828,8.13140164,798383700.0,13344260000.0,2.15683e+27,4.993091,23.45366,6.684006,0.9969468454,-2.515251,4519264000000.0,-9.99986,-1.999885,-0.305396,-0.305396,0.65
224.0,1476.8475,7.69794446,1031605000.0,15330570000.0,3.607462e+27,5.244061,22.50563,6.064017,0.990328379,-2.014501,448489800000000.0,-9.99986,-1.999885,-0.305396,-0.305396,0.4
232.0,1476.8788,9.03261119,384362400.0,6307019000.0,5.008331e+26,4.406283,25.59746,8.199,0.9999999426,-7.241441,1105537000.0,-9.99986,-1.999885,-0.305396,-0.305396,1.2
266.0,1481.8277,8.2071773,759304900.0,12956870000.0,1.980867e+27,4.951959,23.62453,6.799197,0.9986060699,-2.855759,2131374000000.0,-9.99986,-1.999885,-0.305396,-0.305396,0.7
236.0,1481.8473,8.92398687,426394200.0,7252562000.0,6.246956e+26,4.478618,25.3289,8.002551,0.9999998248,-6.756461,2924564000.0,-9.99986,-1.999885,-0.305396,-0.305396,1.15
233.0,1482.2744,9.32206084,286679800.0,4170850000.0,2.827096e+26,4.27208,26.31388,8.727883,0.999999971,-7.537962,180994600.0,-9.99986,-1.999885,-0.305396,-0.305396,1.3
259.0,1484.0592,8.28146293,721531000.0,12560190000.0,1.799479e+27,4.908977,23.79379,6.914405,0.9993635883,-3.196262,1039836000000.0,-9.99986,-1.999885,-0.305396,-0.305396,0.75
233.0,1485.5347,8.8276116,465957600.0,8097051000.0,7.534526e+26,4.548183,25.09186,7.830333,0.9999993458,-6.184257,7433196000.0,-9.99986,-1.999885,-0.305396,-0.305396,1.1
196.0,1486.7705,7.47037089,1160997000.0,16144410000.0,4.693207e+27,5.380796,22.0231,5.759398,0.98939381,-1.974441,4069791000000000.0,-9.99986,-1.999885,-0.305396,-0.305396,0.3
236.0,1487.7377,8.73948946,503855200.0,8900492000.0,8.86235e+26,4.613029,24.87663,7.675052,0.9999977877,-5.655157,17673950000.0,-9.99986,-1.999885,-0.305396,-0.305396,1.05
249.0,1491.9217,7.88679833,927986500.0,14239700000.0,3.040181e+27,5.144294,22.91316,6.326713,0.9911805978,-2.054561,78180070000000.0,-9.99986,-1.999885,-0.305396,-0.305396,0.5
236.0,1493.0215,8.65710074,540636600.0,9647402000.0,1.034921e+27,4.674973,24.67707,7.532087,0.999993045,-5.1577,40347640000.0,-9.99986,-1.999885,-0.305396,-0.305396,1.0
262.0,1494.7868,7.97216854,882171200.0,13855730000.0,2.768565e+27,5.096861,23.10002,6.449053,0.9919577228,-2.094621,32547410000000.0,-9.99986,-1.999885,-0.305396,-0.305396,0.55
245.0,1495.5944,8.35499765,684702600.0,11979210000.0,1.671442e+27,4.872094,23.9631,7.030697,0.9997094332,-3.536754,590780000000.0,-9.99986,-1.999885,-0.305396,-0.305396,0.8
266.0,1496.2432,8.0533578,839175000.0,13533120000.0,2.515045e+27,5.051123,23.27946,6.56768,0.9933125762,-2.174741,13859490000000.0,-9.99986,-1.999885,-0.305396,-0.305396,0.6
236.0,1497.199,8.57863615,576765900.0,10314760000.0,1.191103e+27,4.731089,24.4888,7.398284,0.9999799556,-4.698007,85104410000.0,-9.99986,-1.999884,-0.305396,-0.305396,0.95
236.0,1501.8619,7.79594009,977444300.0,14660430000.0,3.463666e+27,5.202138,22.71618,6.199089,0.990328379,-2.014501,218043300000000.0,-9.99986,-1.999885,-0.305396,-0.305396,0.45
242.0,1501.895,8.42850173,648506600.0,11482420000.0,1.524822e+27,4.831459,24.13411,7.149236,0.9998673285,-3.877222,330802100000.0,-9.99986,-1.999885,-0.305396,-0.305396,0.85
239.0,1504.232,8.50278499,612610700.0,10886030000.0,1.369179e+27,4.785963,24.30867,7.271267,0.9999447519,-4.257682,177662600000.0,-9.99986,-1.999884,-0.305396,-0.305396,0.9
228.0,1508.5976,9.16055911,338556600.0,5274153000.0,4.230465e+26,4.36409,25.91458,8.43236,0.9999999642,-7.445647,632336000.0,-9.99986,-1.999885,-0.305396,-0.305396,1.25
267.0,1510.6224,8.13139488,798389900.0,13236620000.0,2.365297e+27,5.014399,23.45366,6.684006,0.9961549795,-2.415101,6590550000000.0,-9.99986,-1.999885,-0.305396,-0.305396,0.65
235.0,1510.8902,8.92398665,426394300.0,7251459000.0,6.751284e+26,4.503538,25.3289,8.002551,0.9999997575,-6.615333,4128166000.0,-9.99986,-1.999885,-0.305396,-0.305396,1.15
211.0,1511.2884,7.59048409,1092063000.0,15491620000.0,4.433197e+27,5.325416,22.27681,5.918789,0.9898718684,-1.994471,1713527000000000.0,-9.99986,-1.999885,-0.305396,-0.305396,0.35
223.0,1515.4078,7.69792573,1031628000.0,15051230000.0,3.99941e+27,5.266081,22.50563,6.064017,0.990328379,-2.014501,648505800000000.0,-9.99986,-1.999885,-0.305396,-0.305396,0.4
